Number,Player,Pos,Club,Birth Place,Birth Date,Age,MP,Min,Gls,Height,Weight,Team,Team_Status
23,Niko Sigur,MF,1.hr Hajduk Split,"Burnaby, BC, Canada",9/9/2003,22-275,3,126,0,180,72,Canada,advanced
19,Julio Enciso,FW,1.fr Strasbourg,"CaaguazÃº, Paraguay",1/23/2004,22,5,386,1,168,63,Paraguay,advanced
23,MatÃ­as Galarza,MF,1.us Atlanta Utd,"AsunciÃ³n, Paraguay",2/11/2002,24,4,388,1,175,68,Paraguay,advanced
11,Mauricio,MF,1.br Palmeiras,"SÃ£o Paulo, Brazil",5/22/2001,25,4,173,1,174,73,Paraguay,advanced
3,Omar Alderete,DF,1.eng Sunderland,"AsunciÃ³n, Paraguay",12/26/1996,29-167,4,320,0,188,77,Paraguay,advanced
10,Miguel AlmirÃ³n,"MF,FW",1.us Atlanta Utd,"AsunciÃ³n, Paraguay",2/10/1994,32-121,4,282,0,174,69,Paraguay,advanced
6,JÃºnior Alonso,DF,1.br AtlÃ©tico Mineiro,"AsunciÃ³n, Paraguay",2/9/1993,33-122,5,390,0,185,83,Paraguay,advanced
18,Ãlex Arce,FW,1.ar Ind. Rivadavia,"CarapeguÃ¡, Paraguay",6/16/1995,30-360,2,53,0,187,79,Paraguay,advanced
21,Gabriel Ãvalos,FW,1.ar Independiente,"Hohenau, Paraguay",10/12/1990,35-242,4,141,0,185,91,Paraguay,advanced
5,FabiÃ¡n Balbuena,DF,1.br GrÃªmio,"Ciudad del Este, Paraguay",8/23/1991,34-292,1,1,0,188,82,Paraguay,advanced
16,DamiÃ¡n Bobadilla,MF,1.br SÃ£o Paulo,"AsunciÃ³n, Paraguay",7/11/2001,24-335,4,189,0,181,76,Paraguay,advanced
24,Gustavo Caballero,"FW,MF",2.eng Portsmouth,"San Lorenzo, Paraguay",9/21/2001,24-263,2,96,0,186,76,Paraguay,advanced
4,Juan CÃ¡ceres,DF,1.ru Dynamo Moskva,"Dock Sud, Argentina",6/1/2000,26-010,5,436,0,173,62,Paraguay,advanced
13,JosÃ© Canale,DF,1.ar LanÃºs,"ItauguÃ¡, Paraguay",7/20/1996,29-326,4,161,0,187,79,Paraguay,advanced
14,AndrÃ©s Cubas,MF,1.us Vancouver,"AristÃ³bulo del Valle, Argentina",5/22/1996,30-020,5,480,0,163,66,Paraguay,advanced
12,Orlando Gill,GK,1.py San Lorenzo,"San Lorenzo, Paraguay",6/11/2000,26-000,5,480,0,198,82,Paraguay,advanced
8,Diego GÃ³mez,MF,1.eng Brighton,"San Juan Bautista, Paraguay",3/27/2003,23-076,4,304,0,185,77,Paraguay,advanced
15,Gustavo GÃ³mez,DF,1.br Palmeiras,"San Juan Bautista, Paraguay",5/6/1993,33-036,5,480,0,186,84,Paraguay,advanced
17,Kaku,MF,1.ae Al Ain,"Ciudadela, Argentina",1/11/1995,31-151,1,11,0,165,67,Paraguay,advanced
26,Alexandro Maidana,DF,1.ar Talleresâ€“C,"CaacupÃ©, Paraguay",7/26/2005,20-320,2,55,0,173,73,Paraguay,advanced
20,Braian Ojeda,MF,1.us Orlando City,"ItauguÃ¡, Paraguay",6/27/2000,25-349,1,22,0,173,68,Paraguay,advanced
25,Isidro Pitta,FW,1.br RB Bragantino,"AsunciÃ³n, Paraguay",8/14/1999,26-301,1,45,0,185,78,Paraguay,advanced
9,Antonio Sanabria,FW,1.it Cremonese,"San Lorenzo, Paraguay",3/4/1996,30-099,2,83,0,180,76,Paraguay,advanced
7,RamÃ³n Sosa,"FW,MF",1.br Palmeiras,"Maracana, Paraguay",8/31/1999,26-284,1,12,0,178,68,Paraguay,advanced
2,Gustavo VelÃ¡squez,DF,1.py Cerro PorteÃ±o,"ItauguÃ¡, Paraguay",4/17/1991,35-055,5,246,0,179,78,Paraguay,advanced
5,Casemiro,MF,1.eng Manchester Utd,"SÃ£o JosÃ© dos Campos, Brazil",2/23/1992,34,5,379,1,184,83,Brazil,advanced
9,Matheus Cunha,FW,1.eng Manchester Utd,"JoÃ£o Pessoa, Brazil",5/27/1999,27,5,290,3,183,76,Brazil,advanced
7,Vinicius Júnior,FW,1.es Real Madrid,"SÃ£o GonÃ§alo, Brazil",7/12/2000,25,5,440,4,177,73,Brazil,advanced
22,Gabriel Martinelli,MF,1.eng Arsenal,"Guarulhos, Brazil",6/18/2001,24,4,143,1,180,73,Brazil,advanced
10,Neymar,"FW,MF",1.br Santos,"Mogi das Cruzes, Brazil",2/5/1992,34,2,39,1,174,68,Brazil,advanced
1,Alisson,GK,1.eng Liverpool,"Novo Hamburgo, Brazil",10/2/1992,33-252,5,450,0,193,91,Brazil,advanced
13,Danilo,DF,1.br Flamengo,"Bicas, Brazil",7/15/1991,34-331,5,405,0,184,78,Brazil,advanced
19,Endrick,FW,1.fr Lyon,"Taguatinga, Brazil",7/21/2006,19-325,4,114,0,173,67,Brazil,advanced
17,Fabinho,"DF,MF",1.sa Al-Ittihad,"Campinas, Brazil",10/23/1993,32-231,3,71,0,188,78,Brazil,advanced
8,Bruno GuimarÃ£es,MF,1.eng Newcastle,"Rio de Janeiro, Brazil",11/16/1997,28-207,5,416,0,182,78,Brazil,advanced
21,Luiz Henrique,"FW,MF",1.ru Zenit,"PetrÃ³polis, Brazil",1/2/2001,25-160,1,29,0,182,77,Brazil,advanced
24,Roger Ibanez,DF,1.sa Al-Ahli,"Canela, Brazil",11/23/1998,27-200,1,45,0,186,73,Brazil,advanced
4,Marquinhos,DF,1.fr PSG,"SÃ£o Paulo, Brazil",5/14/1994,32-028,5,450,0,183,73,Brazil,advanced
20,Lucas PaquetÃ¡,MF,1.br Flamengo,"Rio de Janeiro, Brazil",8/27/1997,28-288,4,233,0,180,72,Brazil,advanced
11,Raphinha,"MF,FW",1.es Barcelona,"Porto Alegre, Brazil",12/14/1996,29-179,2,129,0,176,63,Brazil,advanced
26,Rayan,"FW,MF",1.eng Bournemouth,"Rio de Janeiro, Brazil",8/3/2006,19-312,4,288,0,171,79,Brazil,advanced
6,Alex Sandro,"DF,MF",1.br Flamengo,"Catanduva, Brazil",1/26/1991,35-136,1,9,0,180,78,Brazil,advanced
18,Danilo Santos,MF,1.br Botafogoâ€“RJ,"Salvador, Brazil",4/29/2001,25-043,4,46,0,177,68,Brazil,advanced
16,Douglas Santos,DF,1.ru Zenit,"JoÃ£o Pessoa, Brazil",3/22/1994,32-081,5,441,0,173,68,Brazil,advanced
2,Ã‰derson Silva,MF,1.it Atalanta,"Campo Grande, Brazil",7/7/1999,26-339,2,22,0,185,87,Brazil,advanced
25,Igor Thiago,FW,1.eng Brentford,"BrasÃ­lia, Brazil",6/26/2001,24-350,1,61,0,188,84,Brazil,advanced
20,Mateo Chávez,DF,1.nl AZ Alkmaar,"MÃ©xico, Estado de MÃ©xico, Mexico",5/12/2004,22,1,77,1,177,72,Mexico,advanced
8,Ãlvaro Fidalgo,MF,1.es Real Betis,"Pola de Siero, Spain",4/9/1997,29,3,96,1,171,68,Mexico,advanced
9,Raúl Jiménez,FW,1.eng Fulham,"Tepeji del RÃ­o de Ocampo, Estado de Hidalgo, Mexico",5/5/1991,35,4,317,3,188,76,Mexico,advanced
16,Julián Quiñones,"FW,MF",1.sa Al-Qadsiah,"PayÃ¡n, Colombia",3/24/1997,31,5,410,4,176,78,Mexico,advanced
7,Luis Romo,MF,1.mx Guadalajara,"Ahome, Estado de Sinaloa, Mexico",6/5/1995,31,4,264,1,182,83,Mexico,advanced
25,Roberto Alvarado,"FW,MF",1.mx Guadalajara,"Salamanca, Estado de Guanajuato, Mexico",9/7/1998,27-277,5,428,0,170,69,Mexico,advanced
4,Edson Ãlvarez,"MF,DF",1.eng West Ham,"Tlalnepantla de Baz, Estado de MÃ©xico, Mexico",10/24/1997,28-230,4,240,0,185,76,Mexico,advanced
24,Luis ChÃ¡vez,MF,1.ru Dynamo Moskva,"CihuatlÃ¡n, Estado de Jalisco, Mexico",1/15/1996,30-147,1,25,0,178,73,Mexico,advanced
23,JesÃºs Gallardo,DF,1.mx Toluca,"CÃ¡rdenas, Estado de Tabasco, Mexico",8/15/1994,31-300,5,373,0,177,73,Mexico,advanced
11,Santiago GimÃ©nez,FW,1.it Milan,"Buenos Aires, Argentina",4/18/2001,25-054,4,86,0,182,78,Mexico,advanced
14,Armando GonzÃ¡lez,FW,1.mx Guadalajara,"MÃ©xico, Estado de MÃ©xico, Mexico",4/20/2003,23-052,1,15,0,179,68,Mexico,advanced
26,Brian GutiÃ©rrez,MF,1.mx Guadalajara,"Berwyn, IL, United States",6/17/2003,22-359,4,198,0,178,72,Mexico,advanced
21,CÃ©sar Huerta,"FW,MF",1.be Anderlecht,"Guadalajara, Estado de Jalisco, Mexico",12/3/2000,25-190,1,7,0,173,68,Mexico,advanced
6,Erik Lira,MF,1.mx Cruz Azul,"MÃ©xico, Estado de MÃ©xico, Mexico",5/8/2000,26-034,4,345,0,172,68,Mexico,advanced
22,Guillermo MartÃ­nez Ayala,FW,1.mx UNAM,"Celaya, Estado de Guanajuato, Mexico",3/15/1995,31-088,2,72,0,180,91,Mexico,advanced
3,CÃ©sar Montes,DF,1.ru Loko Moscow,"Hermosillo, Estado de Sonora, Mexico",2/24/1997,29-107,4,314,0,191,87,Mexico,advanced
19,Gilberto Mora,MF,1.mx Tijuana,"MÃ©xico, Estado de MÃ©xico, Mexico",10/14/2008,17-240,4,213,0,160,62,Mexico,advanced
13,Guillermo Ochoa,GK,1.cy AEL Limassol,"Guadalajara, Estado de Jalisco, Mexico",7/13/1985,40-333,1,13,0,183,83,Mexico,advanced
17,OrbelÃ­n Pineda,"FW,MF",1.gr AEK Athens,"Coyuca de CatalÃ¡n, Estado de Guerrero, Mexico",3/24/1996,30-079,2,31,0,168,64,Mexico,advanced
1,RaÃºl Rangel,GK,1.mx Guadalajara,"Estado de MÃ©xico, Mexico",2/25/2000,26-106,5,437,0,187,87,Mexico,advanced
15,Israel Reyes,DF,1.mx AmÃ©rica,"AutlÃ¡n de Navarro, Estado de Jalisco, Mexico",5/23/2000,26-019,4,202,0,179,73,Mexico,advanced
2,Jorge SÃ¡nchez,DF,1.gr PAOK,"TorreÃ³n, Estado de Coahuila de Zaragoza, Mexico",12/10/1997,28-183,4,348,0,175,68,Mexico,advanced
18,Obed Vargas,MF,1.es AtlÃ©tico Madrid,"Anchorage, AK, United States",8/5/2005,20-310,3,66,0,175,68,Mexico,advanced
5,Johan VÃ¡squez,DF,1.it Genoa,"Navojoa, Estado de Sonora, Mexico",10/22/1998,27-232,4,360,0,182,72,Mexico,advanced
10,Alexis Vega,"FW,MF",1.mx Toluca,"CuauhtÃ©moc, Ciudad de MÃ©xico, Mexico",11/25/1997,28-198,1,12,0,172,77,Mexico,advanced
17,Rafael Leão,MF,1.it Milan,"Almada, Portugal",6/10/1999,27,5,158,1,189,81,Mexico,advanced
25,Nuno Mendes,DF,1.fr PSG,"Sintra, Portugal",6/19/2002,23,5,395,1,176,69,Portugal,advanced
15,João Neves,MF,1.fr PSG,"Tavira, Portugal",9/27/2004,21,5,390,1,174,66,Portugal,advanced
9,Gonçalo Ramos,FW,1.fr PSG,"OlhÃ£o, Portugal",6/20/2001,24,2,36,1,184,83,Portugal,advanced
7,Cristiano Ronaldo,FW,1.sa Al-Nassr,"Funchal, Portugal",2/5/1985,41,5,440,3,187,78,Portugal,advanced
4,TomÃ¡s AraÃºjo,DF,1.pt Benfica,"Vila Nova de FamalicÃ£o, Portugal",5/16/2002,24-026,1,90,0,187,81,Portugal,advanced
20,JoÃ£o Cancelo,DF,1.es Barcelona,"Barreiro, Portugal",5/27/1994,32-015,5,312,0,182,73,Portugal,advanced
26,Francisco ConceiÃ§Ã£o,MF,1.it Juventus,"Coimbra, Portugal",12/14/2002,23-179,4,126,0,170,69,Portugal,advanced
1,Diogo Costa,GK,1.pt Porto,"Rothrist, Switzerland",9/19/1999,26-265,5,450,0,186,83,Portugal,advanced
24,Samu Costa,MF,1.es Mallorca,"Aveiro, Portugal",11/27/2000,25-196,1,21,0,183,78,Portugal,advanced
5,Diogo Dalot,"DF,MF",1.eng Manchester Utd,"Braga, Portugal",3/18/1999,27-085,2,65,0,184,76,Portugal,advanced
3,RÃºben Dias,DF,1.eng Manchester City,"Amadora, Portugal",5/14/1997,29-028,4,360,0,186,86,Portugal,advanced
11,JoÃ£o FÃ©lix,MF,1.sa Al-Nassr,"Viseu, Portugal",11/10/1999,26-213,3,201,0,180,69,Portugal,advanced
8,Bruno Fernandes,MF,1.eng Manchester Utd,"Maia, Portugal",9/8/1994,31-276,5,422,0,173,66,Portugal,advanced
21,RÃºben Neves,MF,1.sa Al-Hilal,"Mozelos, Portugal",3/13/1997,29-090,2,55,0,180,83,Portugal,advanced
6,Matheus Nunes,"DF,MF",1.eng Manchester City,"Rio de Janeiro, Brazil",8/27/1998,27-288,1,1,0,183,78,Portugal,advanced
2,NÃ©lson Semedo,"DF,MF",1.tr FenerbahÃ§e,"Lisbon, Portugal",11/16/1993,32-207,4,127,0,177,67,Portugal,advanced
10,Bernardo Silva,MF,1.eng Manchester City,"Lisbon, Portugal",8/10/1994,31-305,4,97,0,173,64,Portugal,advanced
16,Francisco TrincÃ£o,"FW,MF",1.pt Sporting CP,"Viana do Castelo, Portugal",12/29/1999,26-164,1,28,0,186,76,Portugal,advanced
13,Renato Veiga,DF,1.es Villarreal,"Lisbon, Portugal",7/29/2003,22-317,5,450,0,188,87,Portugal,advanced
23,Vitinha,MF,1.fr PSG,"Aves, Portugal",2/13/2000,26-118,5,376,0,172,63,Portugal,advanced
20,Folarin Balogun,FW,1.fr Monaco,"Brooklyn, NY, United States",7/3/2001,24,4,312,3,179,69,USA,advanced
14,Sebastian Berhalter,MF,1.us Vancouver,"London, England, United Kingdom",5/10/2001,25,5,187,1,175,69,USA,advanced
16,Alex Freeman,DF,1.es Villarreal,"Baltimore, MD, United States",8/9/2004,21,5,374,1,188,79,USA,advanced
7,Gio Reyna,MF,1.de Gladbach,"Durham, England, United Kingdom",11/13/2002,23,5,131,1,183,78,USA,advanced
17,Malik Tillman,MF,1.de Leverkusen,"NÃ¼rnberg, Germany",5/28/2002,24,5,356,2,186,77,USA,advanced
6,Auston Trusty,DF,1.sct Celtic,"Media, PA, United States",8/12/1998,27,2,101,1,191,83,USA,advanced
11,Brenden Aaronson,MF,1.eng Leeds United,"Medford, NJ, United States",10/22/2000,25-232,1,76,0,178,68,USA,advanced
4,Tyler Adams,MF,1.eng Bournemouth,"Wappingers Falls, NY, United States",2/14/1999,27-117,4,341,0,180,69,USA,advanced
18,Max Arfsten,MF,1.us Columbus Crew,"Fresno, TX, United States",4/19/2001,25-053,1,1,0,185,78,USA,advanced
2,SergiÃ±o Dest,MF,1.nl PSV,"Almere Stad, Netherlands",11/3/2000,25-220,5,297,0,173,68,USA,advanced
24,Matt Freese,GK,1.us NYCFC,"Wayne, PA, United States",9/2/1998,27-282,4,360,0,193,87,USA,advanced
8,Weston McKennie,MF,1.it Juventus,"Little Elm, TX, United States",8/28/1998,27-287,5,443,0,185,84,USA,advanced
22,Mark McKenzie,DF,1.fr Toulouse,"The Bronx, NY, United States",2/25/1999,27-106,1,90,0,183,83,USA,advanced
9,Ricardo Pepi,FW,1.nl PSV,"El Paso, TX, United States",1/9/2003,23-153,5,204,0,185,73,USA,advanced
10,Christian Pulisic,MF,1.it Milan,"Easton, PA, United States",9/18/1998,27-266,4,223,0,172,73,USA,advanced
13,Tim Ream,DF,1.us Charlotte,"St. Louis, MO, United States",10/5/1987,38-249,4,360,0,185,79,USA,advanced
3,Chris Richards,DF,1.eng Crystal Palace,"Birmingham, AL, United States",3/28/2000,26-075,4,360,0,188,83,USA,advanced
5,Antonee Robinson,"DF,MF",1.eng Fulham,"Milton Keynes, England, United Kingdom",8/8/1997,28-307,4,348,0,179,73,USA,advanced
12,Miles Robinson,DF,1.us FC Cincinnati,"Arlington, MA, United States",3/14/1997,29-089,1,90,0,188,83,USA,advanced
23,Joe Scally,DF,1.de Gladbach,"Lake Grove, NY, United States",12/31/2002,23-162,2,87,0,179,79,USA,advanced
1,Matt Turner,GK,1.us NE Revolution,"Park Ridge, NJ, United States",6/24/1994,31-352,1,90,0,191,83,USA,advanced
21,Timothy Weah,MF,1.fr Marseille,"Brooklyn, NY, United States",2/22/2000,26-109,2,76,0,185,66,USA,advanced
19,Haji Wright,"FW,MF",2.eng Coventry City,"Los Angeles, CA, United States",3/27/1998,28-076,2,2,0,188,79,USA,advanced
26,Alejandro Zendejas,"FW,MF",1.mx AmÃ©rica,"Ciudad JuÃ¡rez, Estado de Chihuahua, Mexico",2/7/1998,28-124,1,14,0,170,66,USA,advanced
8,Emam Ashour,MF,1.eg Al Ahly,"As Sinbillāwayn, Egypt",2/20/1998,28,5,362,2,182,72,Egypt,advanced
2,Yasser Ibrahim,DF,1.eg Al Ahly,"Al Manşūrah, Egypt",2/10/1993,33,5,467,1,185,82,Egypt,advanced
21,Mahmoud Saber,MF,1.eg ZED,Egypt,7/30/2001,24,2,46,1,170,73,Egypt,advanced
10,Mohamed Salah,"FW,MF",1.eng Liverpool,"Basyūn, Egypt",6/15/1992,33,5,425,1,175,72,Egypt,advanced
7,Trézéguet,MF,1.eg Al Ahly,"Kafr El Sheikh, Egypt",10/1/1994,31,4,164,1,179,71,Egypt,advanced
11,Mostafa Ziko,"FW,MF",1.eg Pyramids FC,"Alexandria, Egypt",4/27/1997,29,5,370,2,182,73,Egypt,advanced
9,Hamza Abdelkarim,FW,4.es Barcelona B,"Cairo, Egypt",1/1/2008,18-161,4,60,0,182,76,Egypt,advanced
4,Hossam Abdelmaguid,DF,1.eg Zamalek SC,Egypt,4/30/2001,25-042,2,59,0,193,84,Egypt,advanced
6,Mohamed Abdelmonem,DF,1.fr Nice,"Zagazig, Egypt",2/1/1999,27-130,2,14,0,183,78,Egypt,advanced
20,Ibrahim Adel,MF,1.dk Nordsjælland,"Port Said, Egypt",4/23/2001,25-049,1,3,0,178,69,Egypt,advanced
19,Marwan Attia,MF,1.eg Al Ahly,"Kafr ad Dawwār, Egypt",8/12/1998,27-303,5,434,0,170,58,Egypt,advanced
14,Hamdy Fathy,"DF,MF",1.qa Al-Wakrah,"Beheira Governorate, Egypt",9/29/1994,31-255,4,238,0,180,77,Egypt,advanced
13,Ahmed Fatouh,DF,1.eg Zamalek SC,"Cairo, Egypt",3/22/1998,28-081,3,267,0,178,69,Egypt,advanced
15,Karim Hafez,DF,1.eg Pyramids FC,"Beheira Governorate, Egypt",3/12/1996,30-091,3,172,0,162,63,Egypt,advanced
3,Mohamed Hany,DF,1.eg Al Ahly,"Cairo, Egypt",1/25/1996,30-137,5,480,0,175,68,Egypt,advanced
12,Haissem Hassan,MF,1.es Oviedo,"Paris, France",2/8/2002,24-123,2,126,0,173,78,Egypt,advanced
22,Omar Marmoush,"FW,MF",1.eng Manchester City,"Cairo, Egypt",2/7/1999,27-124,5,326,0,177,79,Egypt,advanced
5,Ramy Rabia,DF,1.ae Al Ain,"Cairo, Egypt",5/20/1993,33-022,5,372,0,180,86,Egypt,advanced
23,Mostafa Shobeir,GK,1.eg Al Ahly,"Giza, Egypt",5/15/2000,26-027,5,480,0,185,78,Egypt,advanced
25,Zizo,MF,1.eg Al Ahly,"Cairo, Egypt",1/10/1996,30-152,4,56,0,174,76,Egypt,advanced
11,Jhon Arias,MF,1.br Palmeiras,"QuibdÃ³, Colombia",9/21/1997,28,5,377,1,168,77,Colombia,advanced
21,Jaminton Campaz,"FW,MF",1.ar Rosario Central,"Tumaco, Colombia",5/24/2000,26,3,75,1,168,68,Colombia,advanced
7,Luis Díaz,"FW,MF",1.de Bayern Munich,"Barrancas, Colombia",1/13/1997,29,5,478,1,180,64,Colombia,advanced
2,Daniel MuÃ±oz,DF,1.eng Crystal Palace,"Amalfi, Colombia",5/26/1996,30,5,394,2,183,73,Colombia,advanced
4,Santiago Arias,DF,1.ar Independiente,"MedellÃ­n, Colombia",1/13/1992,34-149,1,86,0,175,72,Colombia,advanced
5,Kevin CastaÃ±o,MF,1.ar River Plate,"ItagÃ¼Ã­, Colombia",9/29/2000,25-255,2,16,0,177,73,Colombia,advanced
9,Jhon CÃ³rdoba,FW,1.ru Krasnodar,"Istmina, Colombia",5/11/1993,33-031,3,99,0,188,84,Colombia,advanced
19,Cucho,"FW,MF",1.es Real Betis,"Pereira, Colombia",4/20/1999,27-052,2,50,0,175,73,Colombia,advanced
26,AndrÃ©s GÃ³mez,MF,1.br Vasco da Gama,"QuibdÃ³, Colombia",9/12/2002,23-272,1,1,0,171,60,Colombia,advanced
16,Jefferson Lerma,MF,1.eng Crystal Palace,"El Cerrito, Colombia",10/25/1994,31-229,5,410,0,179,69,Colombia,advanced
3,Jhon LucumÃ­,DF,1.it Bologna,"Cali, Colombia",6/26/1998,27-350,5,478,0,185,83,Colombia,advanced
22,Deiver Machado,DF,1.fr Nantes,"TadÃ³, Colombia",9/2/1993,32-282,1,90,0,172,74,Colombia,advanced
13,Yerry Mina,DF,1.it Cagliari,"GuachenÃ©, Colombia",9/23/1994,31-261,1,2,0,195,93,Colombia,advanced
17,Johan Mojica,DF,1.es Mallorca,"Cali, Colombia",8/21/1992,33-294,4,390,0,182,66,Colombia,advanced
14,Gustavo Puerta,MF,2.es Racing Sant,"La Victoria, Colombia",7/23/2003,22-323,5,469,0,172,73,Colombia,advanced
20,Juan Quintero,"FW,MF",1.ar River Plate,"Barranquilla, Colombia",1/18/1993,33-144,4,121,0,169,63,Colombia,advanced
6,Richard RÃ­os,MF,1.pt Benfica,"VegachÃ­, Colombia",6/2/2000,26-009,5,140,0,186,72,Colombia,advanced
10,James RodrÃ­guez,"FW,MF",1.us Minnesota Utd,"CÃºcuta, Colombia",7/12/1991,34-334,5,313,0,180,74,Colombia,advanced
23,Davinson SÃ¡nchez,DF,1.tr Galatasaray,"Caloto, Colombia",6/12/1996,29-364,5,480,0,188,81,Colombia,advanced
25,Luis SuÃ¡rez,FW,1.pt Sporting CP,"Santa Marta, Colombia",12/2/1997,28-191,5,331,0,185,73,Colombia,advanced
12,Camilo Vargas,GK,1.mx Atlas,"BogotÃ¡, Colombia",3/9/1989,37-094,5,480,0,185,81,Colombia,advanced
12,Thapelo Maseko,"MF,FW",1.cy AEL Limassol,"South Africa, South Africa",11/11/2003,22,3,242,1,178,73,South Africa,advanced
4,Teboho Mokoena,MF,1.za Sundowns,"Bethlehem, South Africa",1/24/1997,29,3,270,1,176,69,South Africa,advanced
23,Jayden Adams,MF,1.za Sundowns,"Cape Town, South Africa",5/5/2001,25-037,3,116,0,175,68,South Africa,advanced
7,Oswin Appollis,"MF,FW",1.za Orlando Pirates,"Bishop Lavis, South Africa",8/25/2001,24-290,4,255,0,160,63,South Africa,advanced
9,Lyle Foster,FW,1.eng Burnley,"Carletonville, South Africa",9/3/2000,25-281,1,55,0,185,78,South Africa,advanced
17,Evidence Makgopa,FW,1.za Orlando Pirates,"South Africa, South Africa",6/5/2000,26-006,4,215,0,188,78,South Africa,advanced
5,Thalente Mbatha,MF,1.za Orlando Pirates,"South Africa, South Africa",3/16/2000,26-087,4,260,0,179,71,South Africa,advanced
14,Mbekezeli Mbokazi,DF,1.us Chicago Fire,"Hluhluwe, South Africa",9/19/2005,20-265,4,360,0,177,86,South Africa,advanced
6,Aubrey Modiba,DF,1.za Sundowns,"Polokwane, South Africa",7/22/1995,30-324,4,346,0,160,63,South Africa,advanced
10,Relebohile Mofokeng,MF,1.za Orlando Pirates,"Sharpeville, South Africa",10/23/2004,21-231,3,169,0,166,54,South Africa,advanced
8,Tshepang Moremi,MF,1.za Orlando Pirates,"South Africa, South Africa",10/2/2000,25-252,2,34,0,169,68,South Africa,advanced
20,Khuliso Mudau,DF,1.za Sundowns,"South Africa, South Africa",4/26/1995,31-046,4,360,0,181,72,South Africa,advanced
21,Ime Okon,DF,2.de Hannover 96,South Africa,2/20/2004,22-111,4,360,0,187,86,South Africa,advanced
15,Iqraam Rayners,FW,1.za Sundowns,"South Africa, South Africa",12/19/1995,30-174,4,161,0,176,72,South Africa,advanced
25,Kamogelo Sebelebele,"DF,MF",1.za Orlando Pirates,"South Africa, South Africa",7/21/2002,23-325,1,7,0,166,63,South Africa,advanced
19,Nkosinathi Sibisi,DF,1.za Orlando Pirates,"South Africa, South Africa",9/22/1995,30-262,1,90,0,172,77,South Africa,advanced
13,Sphephelo Sithole,MF,1.pt Tondela,"South Africa, South Africa",3/3/1999,27-100,3,229,0,188,79,South Africa,advanced
1,Ronwen Williams,GK,1.za Sundowns,"Gqeberha, South Africa",1/21/1992,34-141,4,360,0,184,78,South Africa,advanced
11,Themba Zwane,"FW,MF",1.za Sundowns,"Tembisa, South Africa",8/3/1989,36-312,1,23,0,170,66,South Africa,advanced
14,Junya Itō,MF,1.be Genk,"Yokosuka, Japan",3/9/1993,33,4,216,1,176,68,Japan,advanced
15,Daichi Kamada,MF,1.eng Crystal Palace,"Ehime, Japan",8/5/1996,29,4,329,2,180,72,Japan,advanced
11,Daizen Maeda,MF,1.sct Celtic,"Ōsaka-fu, Japan",10/20/1997,28,3,244,1,173,67,Japan,advanced
13,Keito Nakamura,MF,2.fr Reims,"Osaka-shi, Japan",7/28/2000,25,4,307,1,180,73,Japan,advanced
24,Kaishū Sano,MF,1.de Mainz 05,"Tsuyama, Japan",12/30/2000,25,3,270,1,176,67,Japan,advanced
18,Ayase Ueda,FW,1.nl Feyenoord,"Mito, Japan",9/10/1998,27,4,321,2,180,76,Japan,advanced
10,Ritsu Doan,MF,1.de Frankfurt,"Amagasaki Shi, Japan",6/16/1998,27-360,4,278,0,172,69,Japan,advanced
9,Keisuke Gotō,FW,1.be Sint-Truiden,"Hamamatsu-shi, Japan",6/3/2005,21-008,1,7,0,191,69,Japan,advanced
4,Ko Itakura,DF,1.nl Ajax,"Yokohama Shi, Japan",1/27/1997,29-135,2,128,0,186,79,Japan,advanced
21,Hiroki Ito,DF,1.de Bayern Munich,"Hamamatsu-shi, Japan",5/12/1999,27-030,4,360,0,186,83,Japan,advanced
8,Takefusa Kubo,MF,1.es Real Sociedad,"Kawasaki-shi, Japan",6/4/2001,25-007,1,74,0,170,67,Japan,advanced
6,Shuto Machino,FW,1.de Gladbach,"Iga-shi, Japan",9/30/1999,26-254,1,13,0,184,77,Japan,advanced
5,Yūto Nagatomo,"DF,MF",1.jp FC Tokyo,"Saijō Shi, Japan",9/12/1986,39-272,1,16,0,179,68,Japan,advanced
19,Kōki Ogawa,FW,1.nl NEC Nijmegen,"Kanagawa, Japan",8/8/1997,28-307,3,42,0,186,78,Japan,advanced
20,Ayumu Seko,DF,1.fr Le Havre,"Ōsaka-fu, Japan",6/7/2000,26-004,2,86,0,183,78,Japan,advanced
26,Kento Shiogai,FW,1.de Wolfsburg,"Tokyo Prefecture, Japan",3/26/2005,21-077,1,7,0,180,77,Japan,advanced
2,Yukinari Sugawara,MF,1.de Werder Bremen,"Toyokawa, Japan",6/28/2000,25-348,4,148,0,179,71,Japan,advanced
25,Junnosuke Suzuki,DF,1.dk FC Copenhagen,"Kakamigahara, Japan",7/12/2003,22-334,2,43,0,180,76,Japan,advanced
17,Yuito Suzuki,"FW,MF",1.de Freiburg,"Hayama-machi, Japan",10/25/2001,24-229,1,12,0,175,69,Japan,advanced
1,Zion Suzuki,GK,1.it Parma,"Newark, NJ, United States",8/21/2002,23-294,4,360,0,190,99,Japan,advanced
7,Ao Tanaka,MF,1.eng Leeds United,"Kawasaki, Japan",9/10/1998,27-274,3,193,0,178,73,Japan,advanced
3,Shogo Taniguchi,DF,1.be Sint-Truiden,"Kumamoto Shi, Japan",7/15/1991,34-331,3,232,0,182,73,Japan,advanced
