Rank,Player,Position,Squad,Age,Born,90s,Tackles,Interceptions (Int),Tournament Stage,Interceptions per 90 mins,Eligible Defender,FBref Player ID,,,,,
238,Nicolás De La Cruz,MF,Uruguay,29,1997,1,1,2,Group Stage Eliminated,2,No,8fda5c72,,,,,
239,Rodrigo De Paul,MF,Argentina,32,1994,5.5,4,6,Knockout,1.090909091,No,162efffd,,,,,
240,Amar Dedi?,DF,Bosnia-Herz,23,2002,3,7,1,Knockout,0.333333333,Yes,bc6e544a,,,,,
241,Louicius Deedson,MF,Haiti,25,2001,1.2,0,1,Group Stage Eliminated,0.833333333,No,f7059bb1,,,,,
242,Hannes Delcroix,DF,Haiti,27,1999,3,3,4,Group Stage Eliminated,1.333333333,Yes,b737f944,,,,,
243,Ousmane Dembélé,MF,France,29,1997,6.6,2,0,Knockout,0,No,b19db005,,,,,
244,Merih Demiral,DF,Türkiye,28,1998,2,1,1,Group Stage Eliminated,0.5,Yes,e3cceee6,,,,,
245,Ermedin Demirovi?,FW,Bosnia-Herz,28,1998,3.9,1,1,Knockout,0.256410256,No,ed79b7d3,,,,,
246,Sergiño Dest,MF,USA,25,2000,3.3,1,5,Knockout,1.515151515,No,5976f83e,,,,,
247,Frans Dhia Putros,DF,Iraq,32,1993,1,2,2,Group Stage Eliminated,2,Yes,0102aa7e,,,,,
248,Oumar Diakité,FW,Côte d'Ivoire,22,2003,0.3,1,0,Knockout,0,No,44435c8f,,,,,
249,Amad Diallo,MFFW,Côte d'Ivoire,23,2002,2.1,4,2,Knockout,0.952380952,No,9dc96f10,,,,,
250,Assane Diao,MF,Senegal,20,2005,0.1,1,0,Knockout,0,No,8ae7d0ec,,,,,
251,Habib Diarra,MF,Senegal,22,2004,1.6,2,1,Knockout,0.625,No,6d0fe035,,,,,
252,Rúben Dias,DF,Portugal,29,1997,4,3,5,Knockout,1.25,Yes,31c69ef1,,,,,
253,Krépin Diatta,DF,Senegal,27,1999,4.3,10,3,Knockout,0.697674419,Yes,8104e41e,,,,,
254,Mory Diaw,GK,Senegal,32,1993,2.6,0,0,Knockout,0,No,f41a69e6,,,,,
255,Brahim Díaz,MF,Morocco,26,1999,5.1,2,4,Knockout,0.784313725,No,407feb71,,,,,
256,Ismael Díaz,FWMF,Panama,29,1997,0.4,1,0,Group Stage Eliminated,0,No,f2a276d1,,,,,
257,Luis Díaz,FWMF,Colombia,29,1997,5.3,0,1,Knockout,0.188679245,No,4a1a9578,,,,,
258,Bamba Dieng,FW,Senegal,26,2000,0.1,0,0,Knockout,0,No,40774c6b,,,,,
259,Lucas Digne,DF,France,32,1993,5.1,3,2,Knockout,0.392156863,Yes,1b84dbe1,,,,,
260,Diney,DF,Cabo Verde,31,1995,4.3,7,4,Knockout,0.930232558,Yes,d2e33ba2,,,,,
261,Ousmane Diomande,DF,Côte d'Ivoire,22,2003,1,0,1,Knockout,1,Yes,394be156,,,,,
262,Yan Diomandé,MFFW,Côte d'Ivoire,19,2006,3.7,6,4,Knockout,1.081081081,No,919f5f54,,,,,
263,Issa Diop,DF,Morocco,29,1997,5.3,1,7,Knockout,1.320754717,Yes,a712ca2b,,,,,
264,El Hadji Malick Diouf,DF,Senegal,21,2004,1.9,1,1,Knockout,0.526315789,Yes,bd5eb2e5,,,,,
265,Ritsu Doan,MF,Japan,27,1998,3.1,1,1,Knockout,0.322580645,No,d01bbb6f,,,,,
266,Jeremy Doku,MF,Belgium,24,2002,3.4,1,3,Knockout,0.882352941,No,fffea3e5,,,,,
267,Merchas Doski,DF,Iraq,26,1999,3,9,6,Group Stage Eliminated,2,Yes,fdf4cfe5,,,,,
268,David Doud?ra,MF,Czechia,28,1998,1,0,1,Group Stage Eliminated,1,No,e95b4604,,,,,
269,Désiré Doué,MF,France,21,2005,4.4,6,2,Knockout,0.454545455,No,9e7483ff,,,,,
270,Guéla Doué,DF,Côte d'Ivoire,23,2002,3.1,5,3,Knockout,0.967741935,Yes,b4ef3fb5,,,,,
271,Deroy Duarte,MF,Cabo Verde,26,1999,2.9,5,6,Knockout,2.068965517,No,6af8fc5b,,,,,
272,Laros Duarte,MF,Cabo Verde,29,1997,1.8,1,2,Knockout,1.111111111,No,4af3d3c8,,,,,
273,Denzel Dumfries,DFMF,Netherlands,30,1996,4.3,6,1,Knockout,0.23255814,Yes,481c9ece,,,,,
274,Jean-Kevin Duverne,DF,Haiti,28,1997,1.9,2,4,Group Stage Eliminated,2.105263158,Yes,0cbc8baa,,,,,
275,Lyndon Dykes,FWMF,Scotland,30,1995,0.4,0,0,Group Stage Eliminated,0,No,cd92357a,,,,,
276,Edin Džeko,FW,Bosnia-Herz,40,1986,2,0,1,Knockout,0.5,No,3bb7f478,,,,,
277,Roshon van Eijma,DF,Curaçao,28,1998,0.2,0,0,Group Stage Eliminated,0,Yes,130368de,,,,,
278,Anthony Elanga,MFFW,Sweden,24,2002,2.4,0,2,Knockout,0.833333333,No,2fba6108,,,,,
279,Meschak Elia,FWMF,Congo DR,28,1997,0.5,0,1,Knockout,2,No,5d51b074,,,,,
280,Callan Elliot,DF,New Zealand,26,1999,0.1,1,0,Group Stage Eliminated,0,Yes,9d6968a3,,,,,
281,Eren Elmal?,DF,Türkiye,25,2000,1.2,1,2,Group Stage Eliminated,1.666666667,Yes,8eeb8ba4,,,,,
282,Nico Elvedi,DF,Switzerland,29,1996,6.7,2,6,Knockout,0.895522388,Yes,48035304,,,,,
283,Breel Embolo,FW,Switzerland,29,1997,5.6,0,2,Knockout,0.357142857,No,0b4f388a,,,,,
284,Julio Enciso,FW,Paraguay,22,2004,4.3,5,1,Knockout,0.23255814,No,9cfbad36,,,,,
285,Endrick,FW,Brazil,19,2006,1.3,1,1,Knockout,0.769230769,No,a2728fbf,,,,,
286,Sherzod Esanov,MF,Uzbekistan,23,2003,0,0,1,Group Stage Eliminated,,No,bd6667ba,,,,,
287,Fidel Escobar,DF,Panama,31,1995,1,2,1,Group Stage Eliminated,1,Yes,4991ec66,,,,,
288,Pervis Estupiñán,MF,Ecuador,28,1998,1,1,0,Knockout,0,No,d38fdf53,,,,,
289,Derrick Etienne,FWMF,Haiti,29,1996,0.1,0,0,Group Stage Eliminated,0,No,59059f1e,,,,,
290,Stephen Eustáquio,MF,Canada,29,1996,4.4,5,3,Knockout,0.681818182,No,577efaec,,,,,
291,Martin Expérience,DFMF,Haiti,27,1999,3,6,4,Group Stage Eliminated,1.333333333,Yes,9edb83f4,,,,,
292,Saeid Ezatolahi,MF,IR Iran,29,1996,2.9,5,7,Group Stage Eliminated,2.413793103,No,314d95ac,,,,,
293,Eberechi Eze,MF,England,27,1998,2.3,0,0,Knockout,0,No,ae4fc6a4,,,,,
294,Fabinho,DFMF,Brazil,32,1993,0.8,1,2,Knockout,2.5,Yes,7f3b388c,,,,,
295,José Fajardo,FW,Panama,32,1993,1.7,2,0,Group Stage Eliminated,0,No,682e47b3,,,,,
296,Odeh Al-Fakhouri,MFFW,Jordan,20,2005,1.6,1,2,Group Stage Eliminated,1.25,No,30591ae5,,,,,
297,Henrik Falchener,DF,Norway,23,2003,0.7,0,1,Knockout,1.428571429,Yes,57fe6b9b,,,,,
298,Marko Farji,MF,Iraq,22,2004,0.6,1,1,Group Stage Eliminated,1.666666667,No,e046cff6,,,,,
299,Christian Fassnacht,FWMF,Switzerland,32,1993,0.1,1,0,Knockout,0,No,0aeeed3f,,,,,
300,Abdul Fatawu Issahaku,FWMF,Ghana,22,2004,1.5,0,0,Knockout,0,No,bceda5ff,,,,,
301,Ahmed Fathy,MF,Qatar,33,1993,1.7,3,3,Group Stage Eliminated,1.764705882,No,f2369793,,,,,
302,Hamdy Fathy,DFMF,Egypt,31,1994,2.6,3,2,Knockout,0.769230769,Yes,c8ef4955,,,,,
303,Ahmed Fatouh,DF,Egypt,28,1998,3,5,4,Knockout,1.333333333,Yes,de13286d,,,,,
304,Abbosbek Fayzullayev,MF,Uzbekistan,22,2003,2.4,6,1,Group Stage Eliminated,0.416666667,No,ef1d36a1,,,,,
305,João Félix,MF,Portugal,26,1999,2.2,4,3,Knockout,1.363636364,No,8aafd64f,,,,,
306,Lewis Ferguson,MF,Scotland,26,1999,3,7,4,Group Stage Eliminated,1.333333333,No,ee64a822,,,,,
307,Bruno Fernandes,MF,Portugal,31,1994,4.7,5,0,Knockout,0,No,507c7bdf,,,,,
308,Enzo Fernández,MF,Argentina,25,2001,7.3,7,6,Knockout,0.821917808,No,5ff4ab71,,,,,
309,Matias Fernandez-Pardo,FWMF,Belgium,21,2005,0.5,1,0,Knockout,0,No,0cdb6a2a,,,,,
310,Álvaro Fidalgo,MF,Mexico,29,1997,1.1,0,1,Knockout,0.909090909,No,c705cdc4,,,,,
311,Sherel Floranus,DF,Curaçao,27,1998,3,6,4,Group Stage Eliminated,1.333333333,Yes,5ad49fbb,,,,,
312,Seko Fofana,MF,Côte d'Ivoire,31,1995,1,0,2,Knockout,2,No,5313ed43,,,,,
313,Yahia Fofana,GK,Côte d'Ivoire,25,2000,4,0,0,Knockout,0,No,9d420dad,,,,,
314,Deveron Fonville,DF,Curaçao,23,2003,2.7,3,5,Group Stage Eliminated,1.851851852,Yes,21932982,,,,,
315,Yassin Fortuné,FWMF,Haiti,27,1999,0.1,0,0,Group Stage Eliminated,0,No,ddcc9e22,,,,,
316,Lyle Foster,FW,South Africa,25,2000,0.6,0,0,Knockout,0,No,f84a807c,,,,,
317,Alan Franco,DF,Ecuador,27,1998,2.8,6,4,Knockout,1.428571429,Yes,c76b161b,,,,,
318,Alex Freeman,DF,USA,21,2004,4.2,6,7,Knockout,1.666666667,Yes,754f150b,,,,,
319,Matt Freese,GK,USA,27,1998,4,0,0,Knockout,0,No,2f49476c,,,,,
320,Remo Freuler,MF,Switzerland,34,1992,6.6,5,8,Knockout,1.212121212,No,98d2c2c4,,,,,
321,Marco Friedl,DF,Austria,28,1998,0.3,0,0,Knockout,0,Yes,f86ad3f5,,,,,
322,Juriën Gaari,DF,Curaçao,32,1993,1.8,2,2,Group Stage Eliminated,1.111111111,Yes,bf7a9d1a,,,,,
323,Jassem Gaber,MF,Qatar,24,2002,1.7,2,0,Group Stage Eliminated,0,No,af9ef8aa,,,,,
324,Cody Gakpo,FW,Netherlands,27,1999,4.1,1,2,Knockout,0.487804878,No,1971591f,,,,,
325,Matías Galarza,MF,Paraguay,24,2002,4.3,11,7,Knockout,1.627906977,No,8e97a57b,,,,,
326,Hernán Galíndez,GK,Ecuador,39,1987,4,0,0,Knockout,0,No,89c136f6,,,,,
327,Jesús Gallardo,DF,Mexico,31,1994,4.1,1,7,Knockout,1.707317073,Yes,d0846b6c,,,,,
328,Ahmed Al-Ganehi,FW,Qatar,25,2000,0.4,1,0,Group Stage Eliminated,0,No,efcf04d2,,,,,
329,Ben Gannon-Doak,MF,Scotland,20,2005,2.1,1,0,Group Stage Eliminated,0,No,733f1a7d,,,,,
330,Eric García,DFMF,Spain,25,2001,0.2,0,1,Knockout,5,Yes,2bed3eab,,,,,
331,Gavi,FW,Spain,21,2004,0.8,2,1,Knockout,1.25,No,19cae58d,,,,,
332,Jason Geria,DF,Australia,33,1993,0.7,1,2,Knockout,2.857142857,Yes,cd494a8d,,,,,
333,Khalid Al Ghannam,MF,Saudi Arabia,25,2000,0,0,0,Group Stage Eliminated,,No,c16843c7,,,,,
334,Ismaël Gharbi,MF,Tunisia,22,2004,1.4,1,1,Group Stage Eliminated,0.714285714,No,5b3cfa12,,,,,
335,Mehdi Ghayedi,FW,IR Iran,27,1998,0.5,0,0,Group Stage Eliminated,0,No,b6c90b4b,,,,,
336,Farés Ghedjemis,FWMF,Algeria,23,2002,0,0,0,Knockout,,No,14aac43e,,,,,
337,Saman Ghoddos,MF,IR Iran,32,1993,2.3,4,5,Group Stage Eliminated,2.173913043,No,f7b1d4e0,,,,,
338,Mohammad Ghorbani,MF,IR Iran,25,2001,1,2,2,Group Stage Eliminated,2,No,4a078e18,,,,,
339,Lee Gi-hyuk,DF,Korea Republic,25,2000,3,4,5,Group Stage Eliminated,1.666666667,Yes,18c8c3c7,,,,,
340,Armin Gigovic,MF,Bosnia-Herz,24,2002,0.9,1,2,Knockout,2.222222222,No,d0a0858e,,,,,
341,Orlando Gill,GK,Paraguay,26,2000,5.3,0,0,Knockout,0,No,0d425331,,,,,
342,Santiago Giménez,FW,Mexico,25,2001,1,0,0,Knockout,0,No,37337aea,,,,,
343,Aníbal Godoy,MF,Panama,36,1990,0,0,0,Group Stage Eliminated,,No,2d496ca3,,,,,
344,Andrés Gómez,MF,Colombia,23,2002,0,0,1,Knockout,,No,76a82373,,,,,
345,Diego Gómez,MF,Paraguay,23,2003,3.4,6,9,Knockout,2.647058824,No,916728da,,,,,
346,Gustavo Gómez,DF,Paraguay,33,1993,5.3,3,2,Knockout,0.377358491,Yes,d5ce52a5,,,,,
347,Armando González,FW,Mexico,23,2003,0.2,0,0,Knockout,0,No,1278bc9a,,,,,
348,Nicolás González,MF,Argentina,28,1998,2.9,3,1,Knockout,0.344827586,No,2374aaca,,,,,
349,Anthony Gordon,MF,England,25,2001,4.4,3,3,Knockout,0.681818182,No,2bd83368,,,,,
350,Leon Goretzka,MF,Germany,31,1995,1.1,1,1,Knockout,0.909090909,No,cc86b9a3,,,,,
351,Kenji Gorré,FWMF,Curaçao,31,1994,0.2,0,0,Group Stage Eliminated,0,No,52d1a4c6,,,,,
352,Keisuke Got?,FW,Japan,21,2005,0.1,1,0,Knockout,0,No,82a2ca86,,,,,
353,Amine Gouiri,FW,Algeria,26,2000,2.8,1,0,Knockout,0,No,aad56ca3,,,,,
354,Ryan Gravenberch,MF,Netherlands,24,2002,3.8,1,6,Knockout,1.578947368,No,b8e740fb,,,,,
355,Michael Gregoritsch,FW,Austria,32,1994,2.1,0,0,Knockout,0,No,8e235926,,,,,
356,Florian Grillitsch,DFMF,Austria,30,1995,1,1,0,Knockout,0,Yes,ffbbc83b,,,,,
357,Pascal Groß,DFMF,Germany,34,1991,0.2,2,0,Knockout,0,Yes,8aec0537,,,,,
358,Gabriel Gudmundsson,MFDF,Sweden,27,1999,3.7,3,5,Knockout,1.351351351,Yes,d5d22a58,,,,,
359,Cho Gue-sung,FW,Korea Republic,28,1998,0.3,0,0,Group Stage Eliminated,0,No,ccfa8e5e,,,,,
360,Marc Guéhi,DF,England,25,2000,7.4,1,6,Knockout,0.810810811,Yes,d0706b27,,,,,
361,Evann Guessand,FWMF,Côte d'Ivoire,24,2001,0.2,0,0,Knockout,0,No,b73f17f8,,,,,
362,Idrissa Gueye,MF,Senegal,36,1989,4,4,2,Knockout,0.5,No,72c812f3,,,,,
363,Pape Gueye,MF,Senegal,27,1999,2.6,1,4,Knockout,1.538461538,No,7155e3e1,,,,,
364,Bruno Guimarães,MF,Brazil,28,1997,4.6,6,2,Knockout,0.434782609,No,82518f62,,,,,
365,Deniz Gül,FW,Türkiye,21,2004,0.4,0,0,Group Stage Eliminated,0,No,f0fb443e,,,,,
366,Arda Güler,MF,Türkiye,21,2005,3,3,2,Group Stage Eliminated,0.666666667,No,3741ca58,,,,,
367,Angus Gunn,GK,Scotland,30,1996,3,1,0,Group Stage Eliminated,0,No,e082af5b,,,,,
368,Malo Gusto,DF,France,23,2003,1.3,3,2,Knockout,1.538461538,Yes,d56b9520,,,,,
369,Brian Gutiérrez,MF,Mexico,22,2003,2.2,1,2,Knockout,0.909090909,No,d88f31db,,,,,
370,Jorge Gutiérrez,DF,Panama,27,1998,1,1,1,Group Stage Eliminated,1,Yes,56f6d192,,,,,
371,Joško Gvardiol,DF,Croatia,24,2002,1.5,2,2,Knockout,1.333333333,Yes,5ad50391,,,,,
372,Viktor Gyökeres,FW,Sweden,28,1998,4,1,0,Knockout,0,No,4d5a9185,,,,,
373,Aziz G?aniyev,MF,Uzbekistan,28,1998,1.4,6,0,Group Stage Eliminated,0,No,0c492054,,,,,
374,Erling Haaland,FW,Norway,25,2000,5.2,0,1,Knockout,0.192307692,No,1f44ac21,,,,,
375,Ihsan Haddad,DF,Jordan,32,1994,2.9,1,2,Group Stage Eliminated,0.689655172,Yes,85660a5d,,,,,
376,Anis Hadj Moussa,MF,Algeria,24,2002,1.1,0,1,Knockout,0.909090909,No,7bc7eef2,,,,,
377,Jaouen Hadjam,DF,Algeria,23,2003,1.2,1,1,Knockout,0.833333333,Yes,576817b7,,,,,
378,Amir Hadžiahmetovi?,MF,Bosnia-Herz,29,1997,0.1,0,0,Knockout,0,No,e8213ed3,,,,,
379,Dennis Hadžikaduni?,DF,Bosnia-Herz,27,1998,0.3,2,0,Knockout,0,Yes,82cfae2a,,,,,
380,Karim Hafez,DF,Egypt,30,1996,1.9,1,3,Knockout,1.578947368,Yes,d2debf23,,,,,
381,Ehsan Hajsafi,DF,IR Iran,36,1990,1,0,1,Group Stage Eliminated,1,Yes,b060e3b8,,,,,
382,Achraf Hakimi,DF,Morocco,27,1998,6.3,10,5,Knockout,0.793650794,Yes,e42d61c7,,,,,
383,Redouane Halhal,DF,Morocco,23,2003,2,1,1,Knockout,0.5,Yes,e17c2cec,,,,,
384,Ali Al Hamadi,FW,Iraq,24,2002,2,2,2,Group Stage Eliminated,1,No,8450467d,,,,,
385,Abdullah Al-Hamdan,FW,Saudi Arabia,26,1999,0.8,0,0,Group Stage Eliminated,0,No,cc4b5436,,,,,
386,Mohamed Amine Ben Hamida,DF,Tunisia,30,1995,2.2,9,1,Group Stage Eliminated,0.454545455,Yes,2a5e8f82,,,,,
387,Odiljon Hamrobekov,MF,Uzbekistan,30,1996,0.9,0,0,Group Stage Eliminated,0,No,03f63e77,,,,,
388,Lee Han-beom,DF,Korea Republic,23,2002,3,2,3,Group Stage Eliminated,1,Yes,071f2dd3,,,,,
389,Grant Hanley,DF,Scotland,34,1991,2,2,1,Group Stage Eliminated,0.5,Yes,e9254eec,,,,,
390,Sontje Hansen,FW,Curaçao,24,2002,0.5,0,0,Group Stage Eliminated,0,No,70bad10b,,,,,
391,Mohamed Hany,DF,Egypt,30,1996,5.3,9,6,Knockout,1.132075472,Yes,9bcf1513,,,,,
392,Moteb Al-Harbi,DF,Saudi Arabia,26,2000,2.1,1,4,Group Stage Eliminated,1.904761905,Yes,1d88554c,,,,,
393,Saleh Hardani,DF,IR Iran,27,1998,1,2,2,Group Stage Eliminated,2,Yes,3a9b682b,,,,,
394,Carlos Harvey,MF,Panama,26,2000,3,3,0,Group Stage Eliminated,0,No,3f18600c,,,,,
395,Akam Hashim,DF,Iraq,27,1998,3,1,2,Group Stage Eliminated,0.666666667,Yes,f8416e89,,,,,
396,Haissem Hassan,MF,Egypt,24,2002,1.4,1,0,Knockout,0,No,e0979e74,,,,,
397,Jalal Hassan,GK,Iraq,35,1991,1.5,0,0,Group Stage Eliminated,0,No,87351c2e,,,,,
398,Abdulaziz Hatem,MF,Qatar,36,1990,0.5,0,0,Group Stage Eliminated,0,No,c5065ef8,,,,,
399,Jorrel Hato,DF,Netherlands,20,2006,0.4,0,0,Knockout,0,Yes,bde35051,,,,,
400,Kai Havertz,FW,Germany,27,1999,3.9,2,1,Knockout,0.256410256,No,fed7cb61,,,,,
401,Hassan Al-Haydos,MF,Qatar,35,1990,0.6,0,0,Group Stage Eliminated,0,No,41bd6c64,,,,,
402,Jan Paul van Hecke,DF,Netherlands,26,2000,4.3,3,4,Knockout,0.930232558,Yes,4fd08daa,,,,,
403,Hwang Hee-chan,FW,Korea Republic,30,1996,1.2,1,0,Group Stage Eliminated,0,No,169fd162,,,,,
404,Torbjørn Heggem,DF,Norway,27,1999,4.9,7,2,Knockout,0.408163265,Yes,834fea76,,,,,
405,Alaa Al Hejji,MF,Saudi Arabia,30,1995,0.4,0,1,Group Stage Eliminated,2.5,No,6d258576,,,,,
406,Dean Henderson,GK,England,29,1997,1,0,1,Knockout,1,No,e5a76dfe,,,,,
407,Jordan Henderson,MF,England,35,1990,0.1,1,0,Knockout,0,No,935e6b8f,,,,,
408,Jack Hendry,DF,Scotland,31,1995,3,2,0,Group Stage Eliminated,0,Yes,ffed43e3,,,,,
409,Luiz Henrique,FWMF,Brazil,25,2001,0.3,0,0,Knockout,0,No,8059806f,,,,,
410,Theo Hernández,DF,France,28,1997,2.9,1,3,Knockout,1.034482759,Yes,d4c9725f,,,,,
411,Lucas Herrington,DF,Australia,18,2007,2.3,1,2,Knockout,0.869565217,Yes,6f808c85,,,,,
412,Son Heung-min,FW,Korea Republic,33,1992,1.9,1,0,Group Stage Eliminated,0,No,92e7e919,,,,,
413,Aaron Hickey,DF,Scotland,24,2002,0.8,0,1,Group Stage Eliminated,1.25,Yes,1780bb4a,,,,,
414,Isak Hien,DF,Sweden,27,1999,2.4,3,1,Knockout,0.416666667,Yes,12806697,,,,,
415,Piero Hincapié,DF,Ecuador,24,2002,3.8,5,4,Knockout,1.052631579,Yes,0c7a48f8,,,,,
416,Adam Hložek,FW,Czechia,23,2002,1.7,1,1,Group Stage Eliminated,0.588235294,No,5521f419,,,,,
417,Tomáš Holeš,DF,Czechia,33,1993,1.7,3,4,Group Stage Eliminated,2.352941176,Yes,e03c2d97,,,,,
418,Amirhossein Hosseinzadeh,FW,IR Iran,25,2000,0.2,2,0,Group Stage Eliminated,0,No,47270f0c,,,,,
419,Robin Hraná?,DF,Czechia,26,2000,3,0,1,Group Stage Eliminated,0.333333333,Yes,95d5aea2,,,,,
420,Ajdin Hrustic,MF,Australia,29,1996,0.9,0,0,Knockout,0,No,1f2d714c,,,,,
421,César Huerta,FWMF,Mexico,25,2000,0.1,0,0,Knockout,0,No,de2f44ce,,,,,
422,Al-Hashmi Al-Hussain,MF,Qatar,22,2003,0.4,2,1,Group Stage Eliminated,2.5,No,c164fda2,,,,,
423,Ayman Hussein,FW,Iraq,30,1996,1.3,0,0,Group Stage Eliminated,0,No,8b574de7,,,,,
424,Oh Hyeon-gyu,FW,Korea Republic,25,2001,1.4,0,0,Group Stage Eliminated,0,No,d25422fb,,,,,
425,Yang Hyun-jun,FWMF,Korea Republic,24,2002,0.2,1,1,Group Stage Eliminated,5,No,f4cda99f,,,,,
426,Roger Ibanez,DF,Brazil,27,1998,0.5,2,1,Knockout,2,Yes,82efe6fa,,,,,
427,Yasser Ibrahim,DF,Egypt,33,1993,5.2,6,3,Knockout,0.576923077,Yes,0b89ad1b,,,,,
428,Borja Iglesias,FW,Spain,33,1993,0,0,0,Knockout,,No,75645f0e,,,,,
429,Hwang In-beom,MF,Korea Republic,29,1996,2.9,2,4,Group Stage Eliminated,1.379310345,No,92fa5d28,,,,,
430,Christ Inao Oulaï,MF,Côte d'Ivoire,20,2006,2.3,4,6,Knockout,2.608695652,No,62709ee4,,,,,
431,Zidane Iqbal,MF,Iraq,23,2003,2.1,2,1,Group Stage Eliminated,0.476190476,No,6fa3c28e,,,,,
432,Nestory Irankunda,FWMF,Australia,20,2006,2.9,0,1,Knockout,0.344827586,No,4ac730b2,,,,,
433,Jackson Irvine,MF,Australia,33,1993,2.5,1,1,Knockout,0.4,No,4637747c,,,,,
434,Alexander Isak,FW,Sweden,26,1999,4,2,0,Knockout,0,No,8e92be30,,,,,
435,Wilson Isidor,FW,Haiti,25,2000,2.1,1,1,Group Stage Eliminated,0.476190476,No,a671316d,,,,,
436,Jamshid Iskanderov,FWMF,Uzbekistan,32,1993,0.1,0,0,Group Stage Eliminated,0,No,3b8abe7c,,,,,
437,Zaid Ismail,MF,Iraq,24,2002,1.3,4,1,Group Stage Eliminated,0.769230769,No,c65effaa,,,,,
438,Ko Itakura,DF,Japan,29,1997,1.4,0,1,Knockout,0.714285714,Yes,97d545ae,,,,,
439,Jacob Italiano,DF,Australia,24,2001,1.8,2,1,Knockout,0.555555556,Yes,2eb0ee9a,,,,,
440,Hiroki Ito,DF,Japan,27,1999,4,2,0,Knockout,0,Yes,204dded0,,,,,
441,Junya It?,MF,Japan,33,1993,2.4,2,1,Knockout,0.416666667,No,dbd3a428,,,,,
442,Cedric Itten,FWMF,Switzerland,29,1996,0.5,0,0,Knockout,0,No,ef233486,,,,,
443,Nicolas Jackson,FW,Senegal,24,2001,2.6,2,1,Knockout,0.384615385,No,9c36ed83,,,,,
444,Lee Jae-sung,FW,Korea Republic,33,1992,1.3,3,2,Group Stage Eliminated,1.538461538,No,34b0387f,,,,,
445,Alireza Jahanbakhsh,FWMF,IR Iran,32,1993,0.5,1,0,Group Stage Eliminated,0,No,08452314,,,,,
446,Ismail Jakobs,DF,Senegal,26,1999,2.4,2,2,Knockout,0.833333333,Yes,a0415710,,,,,
447,Reece James,DF,England,26,1999,3.5,3,3,Knockout,0.857142857,Yes,1265a93a,,,,,
448,Amer Jamous,MF,Jordan,23,2002,0.2,0,0,Group Stage Eliminated,0,No,32d4f1e1,,,,,
449,Luca Jaquez,DF,Switzerland,23,2003,0.9,0,1,Knockout,1.111111111,Yes,a400da8e,,,,,
450,Ardon Jashari,MF,Switzerland,23,2002,0.8,0,0,Knockout,0,No,889588db,,,,,
451,Ali Jasim,MF,Iraq,22,2004,1.4,1,0,Group Stage Eliminated,0,No,1a927a6f,,,,,
452,Danley Jean-Jacques,MF,Haiti,26,2000,2.9,6,3,Group Stage Eliminated,1.034482759,No,59fcbd6d,,,,,
453,Eom Ji-sung,MF,Korea Republic,24,2002,0.5,2,0,Group Stage Eliminated,0,No,3a049da1,,,,,
454,Raúl Jiménez,FW,Mexico,35,1991,3.5,1,0,Knockout,0,No,b561db50,,,,,
455,Kim Jin-gyu,MF,Korea Republic,29,1997,0.6,1,0,Group Stage Eliminated,0,No,7c0479b1,,,,,
456,Park Jinseob,DFMF,Korea Republic,30,1995,0.4,0,0,Group Stage Eliminated,0,Yes,3316967a,,,,,
457,Ruslanbek Jiyanov,FW,Uzbekistan,25,2001,0,1,0,Group Stage Eliminated,,No,3c181746,,,,,
458,Alistair Johnston,DF,Canada,27,1998,5,2,6,Knockout,1.2,Yes,4fb17e20,,,,,
459,Frenkie de Jong,MF,Netherlands,29,1997,3.6,7,8,Knockout,2.222222222,No,1bacc518,,,,,
460,Lenny Joseph,FW,Haiti,25,2000,1.3,0,0,Group Stage Eliminated,0,No,d1828392,,,,,
461,Edmilson Junior,MFFW,Qatar,31,1994,2.3,1,0,Group Stage Eliminated,0,No,620764f4,,,,,
462,Vinicius Júnior,FW,Brazil,25,2000,4.9,1,1,Knockout,0.204081633,No,7111d552,,,,,
463,Elijah Just,MF,New Zealand,26,2000,2.9,3,2,Group Stage Eliminated,0.689655172,No,0c295d6e,,,,,
464,Musab Al Juwayr,MFFW,Saudi Arabia,22,2003,1.7,3,1,Group Stage Eliminated,0.588235294,No,62592fc1,,,,,
465,Ayoub El Kaabi,FW,Morocco,32,1993,0.8,2,0,Knockout,0,No,b1bfd1d4,,,,,
466,Ozan Kabak,DF,Türkiye,26,2000,1,2,0,Group Stage Eliminated,0,Yes,2d61d13a,,,,,
467,Ferdi Kadioglu,DF,Türkiye,26,1999,1.8,2,1,Group Stage Eliminated,0.555555556,Yes,66c52a77,,,,,
468,Kaku,MF,Paraguay,31,1995,0.1,0,0,Knockout,0,No,cb01ad74,,,,,
469,Saša Kalajdži?,FW,Austria,28,1997,0.9,0,0,Knockout,0,No,15f24fe7,,,,,
470,Gédéon Kalulu,DF,Congo DR,28,1997,0.1,0,0,Knockout,0,Yes,dd211559,,,,,
471,Daichi Kamada,MF,Japan,29,1996,3.7,3,1,Knockout,0.27027027,No,15b287da,,,,,
472,Hossein Kanaanizadegan,DF,IR Iran,32,1994,1.5,0,2,Group Stage Eliminated,1.333333333,Yes,24353c25,,,,,
473,Harry Kane,FW,England,32,1993,7.2,3,1,Knockout,0.138888889,No,21a66f6a,,,,,
474,Lee Kang-in,FW,Korea Republic,25,2001,3,0,0,Group Stage Eliminated,0,No,8455ad90,,,,,
