Rank,Player,Position,Squad,Age,Born,90s,Tackles,Interceptions (Int),Tournament Stage,Interceptions per 90 mins,Eligible Defender,FBref Player ID
842,Nico Schlotterbeck,DF,Germany,26,1999,1.5,2,3,Knockout,2.0,Yes,34e12499
848,Ayumu Seko,DF,Japan,26,2000,1.0,1,1,Knockout,1.0,Yes,5c6a4059
851,Nélson Semedo,DFMF,Portugal,32,1993,1.4,0,0,Knockout,0.0,Yes,d04b94db
854,Marvin Senaya,DF,Ghana,25,2001,3.1,12,6,Knockout,1.9354838709677418,Yes,1d383c10
855,Marcos Senesi,DF,Argentina,29,1997,1.2,0,2,Knockout,1.6666666666666667,Yes,35141f4c
870,Nkosinathi Sibisi,DF,South Africa,30,1995,1.0,0,1,Knockout,1.0,Yes,932f8e2b
879,Wilfried Singo,DF,Côte d'Ivoire,25,2000,1.9,0,4,Knockout,2.1052631578947367,Yes,8b609c34
881,Ellyes Skhiri,MFDF,Tunisia,31,1995,2.8,1,2,Group Stage Eliminated,0.7142857142857143,Yes,c2211709
882,Alexandr Sojka,MFDF,Czechia,23,2003,1.6,1,2,Group Stage Eliminated,1.25,Yes,765b7bfc
885,Harry Souttar,DF,Australia,27,1998,4.3,0,4,Knockout,0.9302325581395349,Yes,0a6cb1b1
888,Djed Spence,DF,England,25,2000,4.5,10,5,Knockout,1.1111111111111112,Yes,9bc9a519
890,Josip Staniši?,DFMF,Croatia,26,2000,4.0,2,5,Knockout,1.25,Yes,7ed08d5c
894,John Stones,DF,England,32,1994,3.7,0,0,Knockout,0.0,Yes,5eecec3d
906,Finn Surman,DF,New Zealand,22,2003,3.0,1,4,Group Stage Eliminated,1.3333333333333333,Yes,016e419b
907,Josip Šutalo,DF,Croatia,26,2000,4.0,4,6,Knockout,1.5,Yes,33a6a650
912,Daniel Svensson,DF,Sweden,24,2002,1.1,2,1,Knockout,0.9090909090909091,Yes,124c9382
917,Nicolás Tagliafico,DF,Argentina,33,1992,5.3,4,6,Knockout,1.1320754716981132,Yes,f0661424
918,Jonathan Tah,DF,Germany,30,1996,4.1,3,1,Knockout,0.24390243902439027,Yes,bd142efb
920,Zaid Tahseen,DF,Iraq,25,2001,1.7,1,0,Group Stage Eliminated,0.0,Yes,f3380f7e
922,Montassar Talbi,DF,Tunisia,28,1998,3.0,2,5,Group Stage Eliminated,1.6666666666666667,Yes,a4a44eb0
923,Hassan Al Tambakti,DF,Saudi Arabia,27,1999,2.4,3,3,Group Stage Eliminated,1.25,Yes,6d78c320
925,Shogo Taniguchi,DF,Japan,34,1991,2.6,0,1,Knockout,0.3846153846153846,Yes,828a9c47
928,Arthur Theate,DF,Belgium,26,2000,2.5,0,3,Knockout,1.2,Yes,df8d6029
941,Takehiro Tomiyasu,DF,Japan,27,1998,2.0,1,2,Knockout,1.0,Yes,b3af9be1
953,Auston Trusty,DF,USA,27,1998,1.1,1,4,Knockout,3.6363636363636362,Yes,cddf767b
954,Axel Tuanzebe,DF,Congo DR,28,1997,4.0,2,1,Knockout,0.25,Yes,2baec6ce
959,Dayot Upamecano,DF,France,27,1998,7.3,12,15,Knockout,2.0547945205479454,Yes,d248cd8f
960,Jakhongir Urozov,DF,Uzbekistan,22,2004,1.1,0,1,Group Stage Eliminated,0.9090909090909091,Yes,71210bed
964,Yan Valery,DF,Tunisia,27,1999,2.8,1,4,Group Stage Eliminated,1.4285714285714286,Yes,531a4aa8
966,Virgil van Dijk,DF,Netherlands,34,1991,4.3,1,3,Knockout,0.6976744186046512,Yes,e06683ca
968,Guillermo Varela,DF,Uruguay,33,1993,3.0,1,7,Group Stage Eliminated,2.3333333333333335,Yes,5c961282
974,Johan Vásquez,DF,Mexico,27,1998,4.0,1,2,Knockout,0.5,Yes,5eaed77a
976,Renato Veiga,DF,Portugal,22,2003,5.0,1,6,Knockout,1.2,Yes,fc8fcbd1
977,Gustavo Velásquez,DF,Paraguay,35,1991,2.7,1,1,Knockout,0.37037037037037035,Yes,b99b4cf5
979,Micky van de Ven,DFMF,Netherlands,25,2001,2.9,3,2,Knockout,0.6896551724137931,Yes,8fe2a392
992,Aaron Wan-Bissaka,DF,Congo DR,28,1997,3.9,4,7,Knockout,1.794871794871795,Yes,9e525177
994,Tsuyoshi Watanabe,DF,Japan,29,1997,1.0,2,0,Knockout,0.0,Yes,d5f5955a
1000,Silvan Widmer,DF,Switzerland,33,1993,1.9,4,1,Knockout,0.5263157894736842,Yes,f68b64fc
1027,Denis Zakaria,DF,Switzerland,29,1996,4.0,5,9,Knockout,2.25,Yes,384d58d9
1039,Leo Østigård,DF,Norway,26,1999,1.6,3,1,Knockout,0.625,Yes,b35a7399
